Date,Merchant,Category,Account,Original Statement,Notes,Amount,Tags,Owner,Reviewed
2025-10-27,Harbour Credit Union,Bank Fees,Chequing (...1001),HARBOUR CREDIT UNION,,-4.00,,Shared,
2025-10-22,Night Owl Cinema,Entertainment,Chequing (...1001),NIGHT OWL CINEMA,,-28.00,,Shared,
2025-10-21,Delivery Dash,Restaurants,Chequing (...1001),DELIVERY DASH,,-34.00,,Shared,
2025-10-20,Cloth & Co,Clothing,Chequing (...1001),CLOTH & CO,,-55.00,,Shared,
2025-10-18,FillUp Fuels,Gas,Chequing (...1001),FILLUP FUELS,,-78.00,,Shared,
2025-10-17,Green Basket Market,Groceries,Chequing (...1001),GREEN BASKET MARKET,,-165.00,,Shared,
2025-10-16,StreamFlix,Streaming,Chequing (...1001),STREAMFLIX,,-18.99,,Shared,
2025-10-16,TuneCloud,Streaming,Chequing (...1001),TUNECLOUD,,-12.99,,Shared,
2025-10-14,Noon Table,Restaurants,Chequing (...1001),NOON TABLE,,-68.00,,Shared,
2025-10-12,Savings Sweep,Transfer,Chequing (...1001),SAVINGS SWEEP,,-200.00,,Shared,
2025-10-12,Savings Sweep,Transfer,Savings (...2002),SAVINGS SWEEP,,200.00,,Shared,
2025-10-11,City Transit,Transit,Chequing (...1001),CITY TRANSIT,,-110.00,,Shared,
2025-10-10,MobileOne,Phone,Chequing (...1001),MOBILEONE,,-55.00,,Shared,
2025-10-09,BrightFiber,Internet,Chequing (...1001),BRIGHTFIBER,,-85.00,,Shared,
2025-10-08,City Power Co,Utilities,Chequing (...1001),CITY POWER CO,,-95.00,,Shared,
2025-10-07,Corner Bean,Coffee Shops,Chequing (...1001),CORNER BEAN,,-42.00,,Shared,
2025-10-06,ParkRight,Parking & Tolls,Chequing (...1001),PARKRIGHT,,-45.00,,Shared,
2025-10-05,Payment Thank You,Credit Card Payment,Chequing (...1001),PAYMENT THANK YOU,,-800.00,,Shared,
2025-10-05,Payment Thank You,Credit Card Payment,Visa (...4242),PAYMENT THANK YOU,,800.00,,Shared,
2025-10-04,FillUp Fuels,Gas,Chequing (...1001),FILLUP FUELS,,-85.00,,Shared,
2025-10-03,Green Basket Market,Groceries,Chequing (...1001),GREEN BASKET MARKET,,-180.00,,Shared,
2025-10-02,FitHarbor Gym,Fitness,Chequing (...1001),FITHARBOR GYM,,-70.00,,Shared,
2025-10-01,Northwind Labs,Paycheck,Chequing (...1001),NORTHWIND LABS,,4850.00,,Shared,
2025-10-01,Riverbend Apartments,Rent,Chequing (...1001),RIVERBEND APARTMENTS,,-1650.00,,Shared,
2025-09-28,Harbour Credit Union,Interest,Chequing (...1001),HARBOUR CREDIT UNION,,12.40,,Shared,
2025-09-27,Harbour Credit Union,Bank Fees,Chequing (...1001),HARBOUR CREDIT UNION,,-4.00,,Shared,
2025-09-22,Night Owl Cinema,Entertainment,Chequing (...1001),NIGHT OWL CINEMA,,-28.00,,Shared,
2025-09-21,Delivery Dash,Restaurants,Chequing (...1001),DELIVERY DASH,,-34.00,,Shared,
2025-09-20,Cloth & Co,Clothing,Chequing (...1001),CLOTH & CO,,-120.00,,Shared,
2025-09-18,FillUp Fuels,Gas,Chequing (...1001),FILLUP FUELS,,-78.00,,Shared,
2025-09-17,Green Basket Market,Groceries,Chequing (...1001),GREEN BASKET MARKET,,-165.00,,Shared,
2025-09-16,StreamFlix,Streaming,Chequing (...1001),STREAMFLIX,,-18.99,,Shared,
2025-09-16,TuneCloud,Streaming,Chequing (...1001),TUNECLOUD,,-12.99,,Shared,
2025-09-14,Noon Table,Restaurants,Chequing (...1001),NOON TABLE,,-68.00,,Shared,
2025-09-12,Savings Sweep,Transfer,Chequing (...1001),SAVINGS SWEEP,,-200.00,,Shared,
2025-09-12,Savings Sweep,Transfer,Savings (...2002),SAVINGS SWEEP,,200.00,,Shared,
2025-09-10,MobileOne,Phone,Chequing (...1001),MOBILEONE,,-55.00,,Shared,
2025-09-09,BrightFiber,Internet,Chequing (...1001),BRIGHTFIBER,,-85.00,,Shared,
2025-09-08,City Power Co,Utilities,Chequing (...1001),CITY POWER CO,,-95.00,,Shared,
2025-09-07,Corner Bean,Coffee Shops,Chequing (...1001),CORNER BEAN,,-42.00,,Shared,
2025-09-06,ParkRight,Parking & Tolls,Chequing (...1001),PARKRIGHT,,-45.00,,Shared,
2025-09-05,Payment Thank You,Credit Card Payment,Chequing (...1001),PAYMENT THANK YOU,,-800.00,,Shared,
2025-09-05,Payment Thank You,Credit Card Payment,Visa (...4242),PAYMENT THANK YOU,,800.00,,Shared,
2025-09-04,FillUp Fuels,Gas,Chequing (...1001),FILLUP FUELS,,-85.00,,Shared,
2025-09-03,Green Basket Market,Groceries,Chequing (...1001),GREEN BASKET MARKET,,-180.00,,Shared,
2025-09-03,Petal & Paw,Pets,Chequing (...1001),PETAL & PAW,,-65.00,,Shared,
2025-09-02,FitHarbor Gym,Fitness,Chequing (...1001),FITHARBOR GYM,,-70.00,,Shared,
2025-09-01,Northwind Labs,Paycheck,Chequing (...1001),NORTHWIND LABS,,4850.00,,Shared,
2025-09-01,Riverbend Apartments,Rent,Chequing (...1001),RIVERBEND APARTMENTS,,-1650.00,,Shared,
2025-08-28,Harbour Credit Union,Interest,Chequing (...1001),HARBOUR CREDIT UNION,,12.40,,Shared,
2025-08-27,Harbour Credit Union,Bank Fees,Chequing (...1001),HARBOUR CREDIT UNION,,-4.00,,Shared,
2025-08-22,Night Owl Cinema,Entertainment,Chequing (...1001),NIGHT OWL CINEMA,,-28.00,,Shared,
2025-08-21,Delivery Dash,Restaurants,Chequing (...1001),DELIVERY DASH,,-34.00,,Shared,
2025-08-20,Cloth & Co,Clothing,Chequing (...1001),CLOTH & CO,,-55.00,,Shared,
2025-08-19,Mystery Merchant,Uncategorized,Chequing (...1001),MYSTERY MERCHANT,,-22.50,,Shared,
2025-08-18,FillUp Fuels,Gas,Chequing (...1001),FILLUP FUELS,,-78.00,,Shared,
2025-08-17,Green Basket Market,Groceries,Chequing (...1001),GREEN BASKET MARKET,,-165.00,,Shared,
2025-08-16,StreamFlix,Streaming,Chequing (...1001),STREAMFLIX,,-18.99,,Shared,
2025-08-16,TuneCloud,Streaming,Chequing (...1001),TUNECLOUD,,-12.99,,Shared,
2025-08-14,Noon Table,Restaurants,Chequing (...1001),NOON TABLE,,-68.00,,Shared,
2025-08-12,Savings Sweep,Transfer,Chequing (...1001),SAVINGS SWEEP,,-200.00,,Shared,
2025-08-12,Savings Sweep,Transfer,Savings (...2002),SAVINGS SWEEP,,200.00,,Shared,
2025-08-11,City Transit,Transit,Chequing (...1001),CITY TRANSIT,,-110.00,,Shared,
2025-08-10,MobileOne,Phone,Chequing (...1001),MOBILEONE,,-55.00,,Shared,
2025-08-09,BrightFiber,Internet,Chequing (...1001),BRIGHTFIBER,,-85.00,,Shared,
2025-08-08,City Power Co,Utilities,Chequing (...1001),CITY POWER CO,,-95.00,,Shared,
2025-08-07,Corner Bean,Coffee Shops,Chequing (...1001),CORNER BEAN,,-42.00,,Shared,
2025-08-06,ParkRight,Parking & Tolls,Chequing (...1001),PARKRIGHT,,-45.00,,Shared,
2025-08-05,Payment Thank You,Credit Card Payment,Chequing (...1001),PAYMENT THANK YOU,,-800.00,,Shared,
2025-08-05,Payment Thank You,Credit Card Payment,Visa (...4242),PAYMENT THANK YOU,,800.00,,Shared,
2025-08-04,FillUp Fuels,Gas,Chequing (...1001),FILLUP FUELS,,-85.00,,Shared,
2025-08-03,Green Basket Market,Groceries,Chequing (...1001),GREEN BASKET MARKET,,-180.00,,Shared,
2025-08-02,FitHarbor Gym,Fitness,Chequing (...1001),FITHARBOR GYM,,-70.00,,Shared,
2025-08-01,Northwind Labs,Paycheck,Chequing (...1001),NORTHWIND LABS,,4850.00,,Shared,
2025-08-01,Riverbend Apartments,Rent,Chequing (...1001),RIVERBEND APARTMENTS,,-1650.00,,Shared,
2025-07-28,Harbour Credit Union,Interest,Chequing (...1001),HARBOUR CREDIT UNION,,12.40,,Shared,
2025-07-27,Harbour Credit Union,Bank Fees,Chequing (...1001),HARBOUR CREDIT UNION,,-4.00,,Shared,
2025-07-22,Night Owl Cinema,Entertainment,Chequing (...1001),NIGHT OWL CINEMA,,-28.00,,Shared,
2025-07-21,Delivery Dash,Restaurants,Chequing (...1001),DELIVERY DASH,,-34.00,,Shared,
2025-07-20,Cloth & Co,Clothing,Chequing (...1001),CLOTH & CO,,-55.00,,Shared,
2025-07-18,FillUp Fuels,Gas,Chequing (...1001),FILLUP FUELS,,-78.00,,Shared,
2025-07-17,Green Basket Market,Groceries,Chequing (...1001),GREEN BASKET MARKET,,-165.00,,Shared,
2025-07-16,StreamFlix,Streaming,Chequing (...1001),STREAMFLIX,,-18.99,,Shared,
2025-07-16,TuneCloud,Streaming,Chequing (...1001),TUNECLOUD,,-12.99,,Shared,
2025-07-14,Noon Table,Restaurants,Chequing (...1001),NOON TABLE,,-68.00,,Shared,
2025-07-12,Savings Sweep,Transfer,Chequing (...1001),SAVINGS SWEEP,,-200.00,,Shared,
2025-07-12,Savings Sweep,Transfer,Savings (...2002),SAVINGS SWEEP,,200.00,,Shared,
2025-07-10,MobileOne,Phone,Chequing (...1001),MOBILEONE,,-55.00,,Shared,
2025-07-09,BrightFiber,Internet,Chequing (...1001),BRIGHTFIBER,,-85.00,,Shared,
2025-07-08,City Power Co,Utilities,Chequing (...1001),CITY POWER CO,,-95.00,,Shared,
2025-07-07,Corner Bean,Coffee Shops,Chequing (...1001),CORNER BEAN,,-42.00,,Shared,
2025-07-06,ParkRight,Parking & Tolls,Chequing (...1001),PARKRIGHT,,-45.00,,Shared,
2025-07-05,Payment Thank You,Credit Card Payment,Chequing (...1001),PAYMENT THANK YOU,,-800.00,,Shared,
2025-07-05,Payment Thank You,Credit Card Payment,Visa (...4242),PAYMENT THANK YOU,,800.00,,Shared,
2025-07-04,FillUp Fuels,Gas,Chequing (...1001),FILLUP FUELS,,-85.00,,Shared,
2025-07-03,Green Basket Market,Groceries,Chequing (...1001),GREEN BASKET MARKET,,-180.00,,Shared,
2025-07-02,FitHarbor Gym,Fitness,Chequing (...1001),FITHARBOR GYM,,-70.00,,Shared,
2025-07-01,Northwind Labs,Paycheck,Chequing (...1001),NORTHWIND LABS,,4850.00,,Shared,
2025-07-01,Riverbend Apartments,Rent,Chequing (...1001),RIVERBEND APARTMENTS,,-1650.00,,Shared,
2025-06-28,Harbour Credit Union,Interest,Chequing (...1001),HARBOUR CREDIT UNION,,12.40,,Shared,
2025-06-27,Harbour Credit Union,Bank Fees,Chequing (...1001),HARBOUR CREDIT UNION,,-4.00,,Shared,
2025-06-22,Night Owl Cinema,Entertainment,Chequing (...1001),NIGHT OWL CINEMA,,-28.00,,Shared,
2025-06-21,Delivery Dash,Restaurants,Chequing (...1001),DELIVERY DASH,,-34.00,,Shared,
2025-06-20,Cloth & Co,Clothing,Chequing (...1001),CLOTH & CO,,-120.00,,Shared,
2025-06-18,FillUp Fuels,Gas,Chequing (...1001),FILLUP FUELS,,-78.00,,Shared,
2025-06-17,Green Basket Market,Groceries,Chequing (...1001),GREEN BASKET MARKET,,-165.00,,Shared,
2025-06-16,StreamFlix,Streaming,Chequing (...1001),STREAMFLIX,,-18.99,,Shared,
2025-06-16,TuneCloud,Streaming,Chequing (...1001),TUNECLOUD,,-12.99,,Shared,
2025-06-15,Northwind Labs,Bonus,Chequing (...1001),NORTHWIND LABS,,1200.00,,Shared,
2025-06-14,Noon Table,Restaurants,Chequing (...1001),NOON TABLE,,-68.00,,Shared,
2025-06-12,Savings Sweep,Transfer,Chequing (...1001),SAVINGS SWEEP,,-200.00,,Shared,
2025-06-12,Savings Sweep,Transfer,Savings (...2002),SAVINGS SWEEP,,200.00,,Shared,
2025-06-11,City Transit,Transit,Chequing (...1001),CITY TRANSIT,,-110.00,,Shared,
2025-06-10,MobileOne,Phone,Chequing (...1001),MOBILEONE,,-55.00,,Shared,
2025-06-09,BrightFiber,Internet,Chequing (...1001),BRIGHTFIBER,,-85.00,,Shared,
2025-06-08,City Power Co,Utilities,Chequing (...1001),CITY POWER CO,,-95.00,,Shared,
2025-06-07,Corner Bean,Coffee Shops,Chequing (...1001),CORNER BEAN,,-42.00,,Shared,
2025-06-06,ParkRight,Parking & Tolls,Chequing (...1001),PARKRIGHT,,-45.00,,Shared,
2025-06-05,Payment Thank You,Credit Card Payment,Chequing (...1001),PAYMENT THANK YOU,,-800.00,,Shared,
2025-06-05,Payment Thank You,Credit Card Payment,Visa (...4242),PAYMENT THANK YOU,,800.00,,Shared,
2025-06-04,FillUp Fuels,Gas,Chequing (...1001),FILLUP FUELS,,-85.00,,Shared,
2025-06-03,Green Basket Market,Groceries,Chequing (...1001),GREEN BASKET MARKET,,-180.00,,Shared,
2025-06-02,FitHarbor Gym,Fitness,Chequing (...1001),FITHARBOR GYM,,-70.00,,Shared,
2025-06-01,Northwind Labs,Paycheck,Chequing (...1001),NORTHWIND LABS,,4850.00,,Shared,
2025-06-01,Riverbend Apartments,Rent,Chequing (...1001),RIVERBEND APARTMENTS,,-1650.00,,Shared,
2025-05-28,Harbour Credit Union,Interest,Chequing (...1001),HARBOUR CREDIT UNION,,12.40,,Shared,
2025-05-27,Harbour Credit Union,Bank Fees,Chequing (...1001),HARBOUR CREDIT UNION,,-4.00,,Shared,
2025-05-22,Night Owl Cinema,Entertainment,Chequing (...1001),NIGHT OWL CINEMA,,-28.00,,Shared,
2025-05-21,Delivery Dash,Restaurants,Chequing (...1001),DELIVERY DASH,,-34.00,,Shared,
2025-05-20,Cloth & Co,Clothing,Chequing (...1001),CLOTH & CO,,-55.00,,Shared,
2025-05-18,FillUp Fuels,Gas,Chequing (...1001),FILLUP FUELS,,-78.00,,Shared,
2025-05-17,Green Basket Market,Groceries,Chequing (...1001),GREEN BASKET MARKET,,-165.00,,Shared,
2025-05-16,StreamFlix,Streaming,Chequing (...1001),STREAMFLIX,,-18.99,,Shared,
2025-05-16,TuneCloud,Streaming,Chequing (...1001),TUNECLOUD,,-12.99,,Shared,
2025-05-14,Noon Table,Restaurants,Chequing (...1001),NOON TABLE,,-68.00,,Shared,
2025-05-12,Savings Sweep,Transfer,Chequing (...1001),SAVINGS SWEEP,,-200.00,,Shared,
2025-05-12,Savings Sweep,Transfer,Savings (...2002),SAVINGS SWEEP,,200.00,,Shared,
2025-05-10,MobileOne,Phone,Chequing (...1001),MOBILEONE,,-55.00,,Shared,
2025-05-09,BrightFiber,Internet,Chequing (...1001),BRIGHTFIBER,,-85.00,,Shared,
2025-05-08,City Power Co,Utilities,Chequing (...1001),CITY POWER CO,,-95.00,,Shared,
2025-05-07,Corner Bean,Coffee Shops,Chequing (...1001),CORNER BEAN,,-42.00,,Shared,
2025-05-06,ParkRight,Parking & Tolls,Chequing (...1001),PARKRIGHT,,-45.00,,Shared,
2025-05-05,Payment Thank You,Credit Card Payment,Chequing (...1001),PAYMENT THANK YOU,,-800.00,,Shared,
2025-05-05,Payment Thank You,Credit Card Payment,Visa (...4242),PAYMENT THANK YOU,,800.00,,Shared,
2025-05-04,FillUp Fuels,Gas,Chequing (...1001),FILLUP FUELS,,-85.00,,Shared,
2025-05-03,Green Basket Market,Groceries,Chequing (...1001),GREEN BASKET MARKET,,-180.00,,Shared,
2025-05-02,FitHarbor Gym,Fitness,Chequing (...1001),FITHARBOR GYM,,-70.00,,Shared,
2025-05-01,Northwind Labs,Paycheck,Chequing (...1001),NORTHWIND LABS,,4850.00,,Shared,
2025-05-01,Riverbend Apartments,Rent,Chequing (...1001),RIVERBEND APARTMENTS,,-1650.00,,Shared,
2025-04-28,Harbour Credit Union,Interest,Chequing (...1001),HARBOUR CREDIT UNION,,12.40,,Shared,
2025-04-27,Harbour Credit Union,Bank Fees,Chequing (...1001),HARBOUR CREDIT UNION,,-4.00,,Shared,
2025-04-25,Noon Table,Restaurants,Chequing (...1001),NOON TABLE,Meal refund,34.00,,Shared,
2025-04-22,Night Owl Cinema,Entertainment,Chequing (...1001),NIGHT OWL CINEMA,,-28.00,,Shared,
2025-04-21,Delivery Dash,Restaurants,Chequing (...1001),DELIVERY DASH,,-34.00,,Shared,
2025-04-20,Cloth & Co,Clothing,Chequing (...1001),CLOTH & CO,,-55.00,,Shared,
2025-04-18,FillUp Fuels,Gas,Chequing (...1001),FILLUP FUELS,,-78.00,,Shared,
2025-04-17,Green Basket Market,Groceries,Chequing (...1001),GREEN BASKET MARKET,,-165.00,,Shared,
2025-04-16,StreamFlix,Streaming,Chequing (...1001),STREAMFLIX,,-18.99,,Shared,
2025-04-16,TuneCloud,Streaming,Chequing (...1001),TUNECLOUD,,-12.99,,Shared,
2025-04-14,Noon Table,Restaurants,Chequing (...1001),NOON TABLE,,-68.00,,Shared,
2025-04-12,Savings Sweep,Transfer,Chequing (...1001),SAVINGS SWEEP,,-200.00,,Shared,
2025-04-12,Savings Sweep,Transfer,Savings (...2002),SAVINGS SWEEP,,200.00,,Shared,
2025-04-11,City Transit,Transit,Chequing (...1001),CITY TRANSIT,,-110.00,,Shared,
2025-04-10,MobileOne,Phone,Chequing (...1001),MOBILEONE,,-55.00,,Shared,
2025-04-09,BrightFiber,Internet,Chequing (...1001),BRIGHTFIBER,,-85.00,,Shared,
2025-04-08,City Power Co,Utilities,Chequing (...1001),CITY POWER CO,,-95.00,,Shared,
2025-04-07,Corner Bean,Coffee Shops,Chequing (...1001),CORNER BEAN,,-42.00,,Shared,
2025-04-06,ParkRight,Parking & Tolls,Chequing (...1001),PARKRIGHT,,-45.00,,Shared,
2025-04-05,Payment Thank You,Credit Card Payment,Chequing (...1001),PAYMENT THANK YOU,,-800.00,,Shared,
2025-04-05,Payment Thank You,Credit Card Payment,Visa (...4242),PAYMENT THANK YOU,,800.00,,Shared,
2025-04-04,FillUp Fuels,Gas,Chequing (...1001),FILLUP FUELS,,-85.00,,Shared,
2025-04-03,Green Basket Market,Groceries,Chequing (...1001),GREEN BASKET MARKET,,-180.00,,Shared,
2025-04-02,FitHarbor Gym,Fitness,Chequing (...1001),FITHARBOR GYM,,-70.00,,Shared,
2025-04-01,Northwind Labs,Paycheck,Chequing (...1001),NORTHWIND LABS,,4850.00,,Shared,
2025-04-01,Riverbend Apartments,Rent,Chequing (...1001),RIVERBEND APARTMENTS,,-1650.00,,Shared,
2025-03-28,Harbour Credit Union,Interest,Chequing (...1001),HARBOUR CREDIT UNION,,12.40,,Shared,
2025-03-27,Harbour Credit Union,Bank Fees,Chequing (...1001),HARBOUR CREDIT UNION,,-4.00,,Shared,
2025-03-22,Night Owl Cinema,Entertainment,Chequing (...1001),NIGHT OWL CINEMA,,-28.00,,Shared,
2025-03-21,Delivery Dash,Restaurants,Chequing (...1001),DELIVERY DASH,,-34.00,,Shared,
2025-03-20,Cloth & Co,Clothing,Chequing (...1001),CLOTH & CO,,-120.00,,Shared,
2025-03-18,FillUp Fuels,Gas,Chequing (...1001),FILLUP FUELS,,-78.00,,Shared,
2025-03-17,Green Basket Market,Groceries,Chequing (...1001),GREEN BASKET MARKET,,-165.00,,Shared,
2025-03-16,StreamFlix,Streaming,Chequing (...1001),STREAMFLIX,,-18.99,,Shared,
2025-03-16,TuneCloud,Streaming,Chequing (...1001),TUNECLOUD,,-12.99,,Shared,
2025-03-14,Noon Table,Restaurants,Chequing (...1001),NOON TABLE,,-68.00,,Shared,
2025-03-12,Savings Sweep,Transfer,Chequing (...1001),SAVINGS SWEEP,,-200.00,,Shared,
2025-03-12,Savings Sweep,Transfer,Savings (...2002),SAVINGS SWEEP,,200.00,,Shared,
2025-03-10,MobileOne,Phone,Chequing (...1001),MOBILEONE,,-55.00,,Shared,
2025-03-09,BrightFiber,Internet,Chequing (...1001),BRIGHTFIBER,,-85.00,,Shared,
2025-03-08,City Power Co,Utilities,Chequing (...1001),CITY POWER CO,,-95.00,,Shared,
2025-03-07,Corner Bean,Coffee Shops,Chequing (...1001),CORNER BEAN,,-42.00,,Shared,
2025-03-06,ParkRight,Parking & Tolls,Chequing (...1001),PARKRIGHT,,-45.00,,Shared,
2025-03-05,Payment Thank You,Credit Card Payment,Chequing (...1001),PAYMENT THANK YOU,,-800.00,,Shared,
2025-03-05,Payment Thank You,Credit Card Payment,Visa (...4242),PAYMENT THANK YOU,,800.00,,Shared,
2025-03-04,FillUp Fuels,Gas,Chequing (...1001),FILLUP FUELS,,-85.00,,Shared,
2025-03-03,Green Basket Market,GROCERIES,Chequing (...1001),GREEN BASKET MARKET,,-180.00,,Shared,
2025-03-02,FitHarbor Gym,Fitness,Chequing (...1001),FITHARBOR GYM,,-70.00,,Shared,
2025-03-01,Northwind Labs,Paycheck,Chequing (...1001),NORTHWIND LABS,,4850.00,,Shared,
2025-03-01,Riverbend Apartments,Rent,Chequing (...1001),RIVERBEND APARTMENTS,,-1650.00,,Shared,
2025-02-28,Harbour Credit Union,Interest,Chequing (...1001),HARBOUR CREDIT UNION,,12.40,,Shared,
2025-02-27,Harbour Credit Union,Bank Fees,Chequing (...1001),HARBOUR CREDIT UNION,,-4.00,,Shared,
2025-02-22,Night Owl Cinema,Entertainment,Chequing (...1001),NIGHT OWL CINEMA,,-28.00,,Shared,
2025-02-21,Delivery Dash,Restaurants,Chequing (...1001),DELIVERY DASH,,-34.00,,Shared,
2025-02-20,Cloth & Co,Clothing,Chequing (...1001),CLOTH & CO,,-55.00,,Shared,
2025-02-18,FillUp Fuels,Gas,Chequing (...1001),FILLUP FUELS,,-78.00,,Shared,
2025-02-17,Green Basket Market,Groceries,Chequing (...1001),GREEN BASKET MARKET,,-165.00,,Shared,
2025-02-16,StreamFlix,Streaming,Chequing (...1001),STREAMFLIX,,-18.99,,Shared,
2025-02-16,TuneCloud,Streaming,Chequing (...1001),TUNECLOUD,,-12.99,,Shared,
2025-02-14,Noon Table,Restaurants,Chequing (...1001),NOON TABLE,,-68.00,,Shared,
2025-02-12,Savings Sweep,Transfer,Chequing (...1001),SAVINGS SWEEP,,-200.00,,Shared,
2025-02-12,Savings Sweep,Transfer,Savings (...2002),SAVINGS SWEEP,,200.00,,Shared,
2025-02-11,City Transit,Transit,Chequing (...1001),CITY TRANSIT,,-110.00,,Shared,
