Date,Merchant,Category,Account,Original Statement,Notes,Amount,Tags,Owner,Reviewed
2025-08-01,Pier Housekeeping,Harbor Dues,Chequing (...1001),PIER HOUSEKEEPING,,-400.00,,Sam,
2025-08-03,Cove Pharmacy,Pharmacy,Chequing (...1001),COVE PHARMACY,,-80.00,Reimbursable: Healthcare Account,Sam,
2025-08-05,Coast Mutual,Harbor Insurance,Chequing (...1001),COAST MUTUAL,,-600.00,,Sam,
2025-08-10,Cedar Market,Market Basket,Chequing (...1001),CEDAR MARKET,,-200.00,,Sam,
2025-08-20,Nimbus Software,Cloud Software,US Card (...7788),NIMBUS SOFTWARE,,-15.00,,Sam,
2025-09-01,Pier Housekeeping,Harbor Dues,Chequing (...1001),PIER HOUSEKEEPING,,-400.00,,Sam,
2025-09-03,Cove Pharmacy,Pharmacy,Chequing (...1001),COVE PHARMACY,,-80.00,Reimbursable: Healthcare Account,Sam,
2025-09-10,Cedar Market,Market Basket,Chequing (...1001),CEDAR MARKET,,-400.00,,Sam,
2025-09-12,Yard and Co,Yard Tools,Chequing (...1001),YARD AND CO,,-300.00,Reimbursable: Capital Account,Sam,
2025-09-20,Nimbus Software,Cloud Software,US Card (...7788),NIMBUS SOFTWARE,,-15.00,,Sam,
2025-10-01,Pier Housekeeping,Harbor Dues,Chequing (...1001),PIER HOUSEKEEPING,,-400.00,,Sam,
2025-10-03,Cove Pharmacy,Pharmacy,Chequing (...1001),COVE PHARMACY,,-80.00,Reimbursable: Healthcare Account,Sam,
2025-10-10,Cedar Market,Market Basket,Chequing (...1001),CEDAR MARKET,,-600.00,,Sam,
2025-10-20,Nimbus Software,Cloud Software,US Card (...7788),NIMBUS SOFTWARE,,-15.00,,Sam,
2025-11-01,Pier Housekeeping,Harbor Dues,Chequing (...1001),PIER HOUSEKEEPING,,-400.00,,Sam,
2025-11-03,Cove Pharmacy,Pharmacy,Chequing (...1001),COVE PHARMACY,,-80.00,Reimbursable: Healthcare Account,Sam,
2025-11-10,Cedar Market,Market Basket,Chequing (...1001),CEDAR MARKET,,-200.00,,Sam,
2025-11-20,Nimbus Software,Cloud Software,US Card (...7788),NIMBUS SOFTWARE,,-15.00,,Sam,
2025-12-01,Pier Housekeeping,Harbor Dues,Chequing (...1001),PIER HOUSEKEEPING,,-400.00,,Sam,
2025-12-03,Cove Pharmacy,Pharmacy,Chequing (...1001),COVE PHARMACY,,-80.00,Reimbursable: Healthcare Account,Sam,
2025-12-10,Cedar Market,Market Basket,Chequing (...1001),CEDAR MARKET,,-400.00,,Sam,
2025-12-15,Pebble Gifts,Shore Gifts,Chequing (...1001),PEBBLE GIFTS,,-50.00,,Sam,
2025-12-20,Nimbus Software,Cloud Software,US Card (...7788),NIMBUS SOFTWARE,,-15.00,,Sam,
2026-01-01,Pier Housekeeping,Harbor Dues,Chequing (...1001),PIER HOUSEKEEPING,,-400.00,,Sam,
2026-01-03,Cove Pharmacy,Pharmacy,Chequing (...1001),COVE PHARMACY,,-80.00,Reimbursable: Healthcare Account,Sam,
2026-01-10,Cedar Market,Market Basket,Chequing (...1001),CEDAR MARKET,,-600.00,,Sam,
2026-01-20,Nimbus Software,Cloud Software,US Card (...7788),NIMBUS SOFTWARE,,-15.00,,Sam,
2026-01-20,Maple Garage,Engine Repair,Chequing (...1001),MAPLE GARAGE,,-2400.00,,Sam,
2026-02-01,Pier Housekeeping,Harbor Dues,Chequing (...1001),PIER HOUSEKEEPING,,-400.00,,Sam,
2026-02-03,Cove Pharmacy,Pharmacy,Chequing (...1001),COVE PHARMACY,,-80.00,Reimbursable: Healthcare Account,Sam,
2026-02-03,Studio North,Studio Work,Chequing (...1001),STUDIO NORTH,,-500.00,Reimbursable: Business Account,Sam,
2026-02-10,Cedar Market,Market Basket,Chequing (...1001),CEDAR MARKET,,-200.00,,Sam,
2026-02-20,Nimbus Software,Cloud Software,US Card (...7788),NIMBUS SOFTWARE,,-15.00,,Sam,
2026-03-01,Pier Housekeeping,Harbor Dues,Chequing (...1001),PIER HOUSEKEEPING,,-400.00,,Sam,
2026-03-03,Cove Pharmacy,Pharmacy,Chequing (...1001),COVE PHARMACY,,-80.00,Reimbursable: Healthcare Account,Sam,
2026-03-10,Cedar Market,Market Basket,Chequing (...1001),CEDAR MARKET,,-400.00,,Sam,
2026-03-10,Dock Club,Dock Club,Chequing (...1001),DOCK CLUB,,-180.00,,Sam,
2026-03-20,Nimbus Software,Cloud Software,US Card (...7788),NIMBUS SOFTWARE,,-15.00,,Sam,
2026-04-01,Pier Housekeeping,Harbor Dues,Chequing (...1001),PIER HOUSEKEEPING,,-400.00,,Sam,
2026-04-01,Harbour Registry,Registry Fees,Chequing (...1001),HARBOUR REGISTRY,,-90.00,Reimbursable: Annual Fees Account,Sam,
2026-04-03,Cove Pharmacy,Pharmacy,Chequing (...1001),COVE PHARMACY,,-80.00,Reimbursable: Healthcare Account,Sam,
2026-04-10,Cedar Market,Market Basket,Chequing (...1001),CEDAR MARKET,,-600.00,,Sam,
2026-04-20,Nimbus Software,Cloud Software,US Card (...7788),NIMBUS SOFTWARE,,-15.00,,Sam,
2026-04-20,Pocket Card,Pocket Advance,Chequing (...1001),POCKET CARD,,-75.00,Reimbursable,Sam,
2026-05-01,Pier Housekeeping,Harbor Dues,Chequing (...1001),PIER HOUSEKEEPING,,-400.00,,Sam,
2026-05-01,Own Accounts,Transfer,Chequing (...1001),OWN ACCOUNTS,,-1000.00,,Sam,
2026-05-03,Cove Pharmacy,Pharmacy,Chequing (...1001),COVE PHARMACY,,-80.00,Reimbursable: Healthcare Account,Sam,
2026-05-10,Cedar Market,Market Basket,Chequing (...1001),CEDAR MARKET,,-200.00,,Sam,
2026-05-20,Nimbus Software,Cloud Software,US Card (...7788),NIMBUS SOFTWARE,,-15.00,,Sam,
2026-05-28,Card Pay,Credit Card Payment,Chequing (...1001),CARD PAY,,-2000.00,,Sam,
2026-06-01,Pier Housekeeping,Harbor Dues,Chequing (...1001),PIER HOUSEKEEPING,,-400.00,,Sam,
2026-06-03,Cove Pharmacy,Pharmacy,Chequing (...1001),COVE PHARMACY,,-80.00,Reimbursable: Healthcare Account,Sam,
2026-06-08,Lantern Labs,Lantern App,Chequing (...1001),LANTERN LABS,,-42.00,,Sam,
2026-06-10,Cedar Market,Market Basket,Chequing (...1001),CEDAR MARKET,,-400.00,,Sam,
2026-06-15,Pebble Gifts,Shore Gifts,Chequing (...1001),PEBBLE GIFTS,,-50.00,,Sam,
2026-06-20,Nimbus Software,Cloud Software,US Card (...7788),NIMBUS SOFTWARE,,-15.00,,Sam,
2026-07-01,Pier Housekeeping,Harbor Dues,Chequing (...1001),PIER HOUSEKEEPING,,-400.00,,Sam,
2026-07-03,Cove Pharmacy,Pharmacy,Chequing (...1001),COVE PHARMACY,,-80.00,Reimbursable: Healthcare Account,Sam,
2026-07-08,Lantern Labs,Lantern App,Chequing (...1001),LANTERN LABS,,-42.00,,Sam,
2026-07-10,Cedar Market,Market Basket,Chequing (...1001),CEDAR MARKET,,-600.00,,Sam,
2026-07-10,Lakeside Inn,Trip Lodging,Chequing (...1001),LAKESIDE INN,,-1800.00,Reimbursable: Vacation Account,Sam,
2026-07-11,Trail Clinic,Trail Clinic,Chequing (...1001),TRAIL CLINIC,,-90.00,"Reimbursable: Vacation Account, Reimbursable: Healthcare Account",Sam,
2026-07-20,Nimbus Software,Cloud Software,US Card (...7788),NIMBUS SOFTWARE,,-15.00,,Sam,
2026-07-31,Northwind Labs,Paycheque,Chequing (...1001),NORTHWIND LABS,,4000.00,,Sam,
2026-08-01,Pier Housekeeping,Harbor Dues,Chequing (...1001),PIER HOUSEKEEPING,,-400.00,,Sam,
2026-08-03,Cove Pharmacy,Pharmacy,Chequing (...1001),COVE PHARMACY,,-80.00,Reimbursable: Healthcare Account,Sam,
2026-08-05,Coast Mutual,Harbor Insurance,Chequing (...1001),COAST MUTUAL,,-600.00,,Sam,
2026-08-10,Cedar Market,Market Basket,Chequing (...1001),CEDAR MARKET,,-200.00,,Sam,
2026-08-20,Nimbus Software,Cloud Software,US Card (...7788),NIMBUS SOFTWARE,,-15.00,,Sam,
